,start_time,ambient_temperature,battery_id,test_id,uid,filename,Capacity,cycle_number
2369,[2009. 2. 21. 10. 42. 44.125],24,B0027,42,2370,02370.csv,1.809238569578753,16
2373,[2009. 3. 2. 16. 30. 34.015],24,B0027,46,2374,02374.csv,1.7820717716005336,17
2377,[2009. 3. 2. 22. 19. 45.593],24,B0027,50,2378,02378.csv,1.8145504562341048,18
2379,[2009. 3. 3. 2. 59. 39.453],24,B0027,52,2380,02380.csv,1.809153485164282,19
2381,[2009. 3. 3. 7. 39. 7.296],24,B0027,54,2382,02382.csv,1.806555150809371,20
2383,[2009. 3. 3. 12. 18. 51.281],24,B0027,56,2384,02384.csv,1.802401655959492,21
2385,[2009. 3. 3. 16. 58. 46.625],24,B0027,58,2386,02386.csv,1.7964331683322998,22
2392,[2009. 3. 5. 18. 40. 18.984],24,B0027,65,2393,02393.csv,1.8088036930508289,23
2394,[2009. 3. 5. 23. 20. 1.140],24,B0027,67,2395,02395.csv,1.7915527748749651,24
2396,[2009. 3. 6. 4. 0. 25.046],24,B0027,69,2397,02397.csv,1.7853375192239571,25
2398,[2009. 3. 6. 8. 39. 37.156],24,B0027,71,2399,02399.csv,1.793209210325309,26
2400,[2009. 3. 6. 13. 20. 49.203],24,B0027,73,2401,02401.csv,1.7873097711102113,27
2404,[2009. 3. 19. 10. 34. 54.078],24,B0027,77,2405,02405.csv,1.7700926253324452,28
2410,[2009. 2. 13. 23. 12. 28.078],24,B0028,3,2411,02411.csv,1.8046847720100736,1
2412,[2009. 2. 14. 4. 3. 34.578],24,B0028,5,2413,02413.csv,1.804783321452588,2
2414,[2009. 2. 14. 8. 54. 41.468],24,B0028,7,2415,02415.csv,1.797618668222458,3
2416,[2009. 2. 14. 13. 45. 23.546],24,B0028,9,2417,02417.csv,1.7929913687761174,4
2418,[2009. 2. 14. 18. 35. 40.671],24,B0028,11,2419,02419.csv,1.7919180081592216,5
2422,[2009. 2. 18. 10. 48. 58.156],24,B0028,15,2423,02423.csv,1.775026135903797,6
2426,[2009. 2. 18. 16. 49. 7.390],24,B0028,19,2427,02427.csv,1.7920487852223417,7
2429,[2009. 2. 19. 0. 52. 49.687],24,B0028,22,2430,02430.csv,1.790475801581265,8
2431,[2009. 2. 19. 5. 38. 57.140],24,B0028,24,2432,02432.csv,1.7868365091987264,9
2433,[2009. 2. 19. 10. 25. 15.218],24,B0028,26,2434,02434.csv,1.7871529619962183,10
2437,[2009. 2. 20. 9. 44. 26.828],24,B0028,30,2438,02438.csv,1.7816340617009505,11
2441,[2009. 2. 20. 15. 43. 26.140],24,B0028,34,2442,02442.csv,1.7850235136604733,12
2443,[2009. 2. 20. 20. 27. 0.812],24,B0028,36,2444,02444.csv,1.7803865429693038,13
2445,[2009. 2. 21. 1. 12. 57.984],24,B0028,38,2446,02446.csv,1.7789060856417256,14
2447,[2009. 2. 21. 5. 57. 5.062],24,B0028,40,2448,02448.csv,1.7738387518973049,15
2449,[2009. 2. 21. 10. 42. 44.125],24,B0028,42,2450,02450.csv,1.769682881523146,16
2453,[2009. 3. 2. 16. 30. 34.015],24,B0028,46,2454,02454.csv,1.7408787283206992,17
2457,[2009. 3. 2. 22. 19. 45.593],24,B0028,50,2458,02458.csv,1.7648189744011906,18
2459,[2009. 3. 3. 2. 59. 39.453],24,B0028,52,2460,02460.csv,1.7617857390844025,19
2461,[2009. 3. 3. 7. 39. 7.296],24,B0028,54,2462,02462.csv,1.75770610357021,20
2463,[2009. 3. 3. 12. 18. 51.281],24,B0028,56,2464,02464.csv,1.7519375960601256,21
2465,[2009. 3. 3. 16. 58. 46.625],24,B0028,58,2466,02466.csv,1.7521244035832175,22
2472,[2009. 3. 5. 18. 40. 18.984],24,B0028,65,2473,02473.csv,1.759771413398964,23
2474,[2009. 3. 5. 23. 20. 1.140],24,B0028,67,2475,02475.csv,1.7483011320324189,24
2476,[2009. 3. 6. 4. 0. 25.046],24,B0028,69,2477,02477.csv,1.7411482627836237,25
2478,[2009. 3. 6. 8. 39. 37.156],24,B0028,71,2479,02479.csv,1.7363833316311177,26
2480,[2009. 3. 6. 13. 20. 49.203],24,B0028,73,2481,02481.csv,1.736559066269527,27
2484,[2009. 3. 19. 10. 34. 54.078],24,B0028,77,2485,02485.csv,1.7172335652295243,28
2488,[2009. 4. 7. 16. 31. 1.890],43,B0029,1,2489,02489.csv,1.697507332205763,1
2490,[2009. 4. 7. 19. 44. 26.578],43,B0029,3,2491,02491.csv,1.844701206961174,2
2492,[2009. 4. 7. 22. 58. 18.000],43,B0029,5,2493,02493.csv,1.8254376674722927,3
2494,[2009. 4. 8. 2. 11. 30.218],43,B0029,7,2495,02495.csv,1.815750429913437,4
2496,[2009. 4. 8. 5. 23. 26.343],43,B0029,9,2497,02497.csv,1.8132993337127028,5
2500,[2009. 4. 9. 10. 24. 58.296],43,B0029,13,2501,02501.csv,1.8151647619660576,6
2502,[2009. 4. 9. 13. 33. 59.843],43,B0029,15,2503,02503.csv,1.8143317955190057,7
2504,[2009. 4. 9. 16. 42. 43.421],43,B0029,17,2505,02505.csv,1.801343601809866,8
2506,[2009. 4. 9. 19. 50. 50.062],43,B0029,19,2507,02507.csv,1.7881558802945825,9
2508,[2009. 4. 9. 22. 58. 17.875],43,B0029,21,2509,02509.csv,1.7760714604539518,10
2512,[2009. 4. 10. 12. 49. 4.718],43,B0029,25,2513,02513.csv,1.7852807447597443,11
2514,[2009. 4. 10. 15. 54. 20.093],43,B0029,27,2515,02515.csv,1.7698116401111978,12
2516,[2009. 4. 10. 18. 59. 6.625],43,B0029,29,2517,02517.csv,1.7565231680521758,13
2518,[2009. 4. 10. 22. 3. 26.625],43,B0029,31,2519,02519.csv,1.7543413277348154,14
2520,[2009. 4. 11. 1. 8. 27.484],43,B0029,33,2521,02521.csv,1.7392875506998715,15
2524,[2009. 4. 13. 9. 51. 27.484],43,B0029,37,2525,02525.csv,1.7797845109331345,16
2526,[2009. 4. 13. 12. 55. 24.468],43,B0029,39,2527,02527.csv,1.7657088508465202,17
2528,[2009. 4. 13. 15. 59. 56.875],43,B0029,41,2529,02529.csv,1.7523941408724169,18
2530,[2009. 4. 13. 19. 4. 39.468],43,B0029,43,2531,02531.csv,1.7380191225603103,19
2532,[2009. 4. 13. 22. 9. 45.531],43,B0029,45,2533,02533.csv,1.7312214443143976,20
2536,[2009. 4. 14. 10. 33. 23.937],43,B0029,49,2537,02537.csv,1.7379128985265808,21
2538,[2009. 4. 14. 13. 36. 17.437],43,B0029,51,2539,02539.csv,1.7224270683625882,22
2540,[2009. 4. 14. 16. 39. 25.031],43,B0029,53,2541,02541.csv,1.7184213765608034,23
2542,[2009. 4. 14. 19. 42. 47.234],43,B0029,55,2543,02543.csv,1.7010220930648232,24
2544,[2009. 4. 14. 22. 45. 53.781],43,B0029,57,2545,02545.csv,1.693698739563104,25
2548,[2009. 4. 15. 14. 58. 30.250],43,B0029,61,2549,02549.csv,1.713072721286705,26
2550,[2009. 4. 15. 18. 1. 43.843],43,B0029,63,2551,02551.csv,1.6976972688567131,27
2552,[2009. 4. 15. 21. 2. 58.328],43,B0029,65,2553,02553.csv,1.6899314034061208,28
2554,[2009. 4. 16. 0. 5. 0.812],43,B0029,67,2555,02555.csv,1.685023551367069,29
2556,[2009. 4. 16. 3. 6. 43.062],43,B0029,69,2557,02557.csv,1.678389965463405,30
2560,[2009. 4. 16. 10. 13. 36.390],43,B0029,73,2561,02561.csv,1.6737947494868326,31
2562,[2009. 4. 16. 13. 14. 46.296],43,B0029,75,2563,02563.csv,1.6687898927884717,32
2564,[2009. 4. 16. 16. 16. 19.734],43,B0029,77,2565,02565.csv,1.6492566306631429,33
2566,[2009. 4. 16. 19. 17. 26.531],43,B0029,79,2567,02567.csv,1.6409676757039668,34
2568,[2009. 4. 16. 22. 17. 17.750],43,B0029,81,2569,02569.csv,1.6456360229757092,35
2572,[2009. 4. 17. 9. 45. 34.062],43,B0029,85,2573,02573.csv,1.654547743574037,36
2574,[2009. 4. 17. 12. 46. 29.125],43,B0029,87,2575,02575.csv,1.6461201520877546,37
2576,[2009. 4. 17. 15. 46. 53.875],43,B0029,89,2577,02577.csv,1.6275119188151763,38
2578,[2009. 4. 17. 18. 47. 33.937],43,B0029,91,2579,02579.csv,1.6200530533464497,39
2580,[2009. 4. 17. 21. 46. 23.796],43,B0029,93,2581,02581.csv,1.612079811711934,40
2585,[2009. 4. 7. 16. 31. 1.890],43,B0030,1,2586,02586.csv,1.6560706096175404,1
2587,[2009. 4. 7. 19. 44. 26.578],43,B0030,3,2588,02588.csv,1.7815548749509116,2
2589,[2009. 4. 7. 22. 58. 18.000],43,B0030,5,2590,02590.csv,1.761969227822918,3
2591,[2009. 4. 8. 2. 11. 30.218],43,B0030,7,2592,02592.csv,1.751755031874225,4
2593,[2009. 4. 8. 5. 23. 26.343],43,B0030,9,2594,02594.csv,1.7381688070362076,5
2597,[2009. 4. 9. 10. 24. 58.296],43,B0030,13,2598,02598.csv,1.750674529346134,6
2599,[2009. 4. 9. 13. 33. 59.843],43,B0030,15,2600,02600.csv,1.7491047649061158,7
2601,[2009. 4. 9. 16. 42. 43.421],43,B0030,17,2602,02602.csv,1.7252544028765475,8
2603,[2009. 4. 9. 19. 50. 50.062],43,B0030,19,2604,02604.csv,1.7112621367644252,9
2605,[2009. 4. 9. 22. 58. 17.875],43,B0030,21,2606,02606.csv,1.6990418392711273,10
2609,[2009. 4. 10. 12. 49. 4.718],43,B0030,25,2610,02610.csv,1.7185770039532977,11
2611,[2009. 4. 10. 15. 54. 20.093],43,B0030,27,2612,02612.csv,1.70324722921867,12
2613,[2009. 4. 10. 18. 59. 6.625],43,B0030,29,2614,02614.csv,1.689458044662304,13
2615,[2009. 4. 10. 22. 3. 26.625],43,B0030,31,2616,02616.csv,1.6756136292719177,14
2617,[2009. 4. 11. 1. 8. 27.484],43,B0030,33,2618,02618.csv,1.6718407140871654,15
2621,[2009. 4. 13. 9. 51. 27.484],43,B0030,37,2622,02622.csv,1.7233056681204446,16
2623,[2009. 4. 13. 12. 55. 24.468],43,B0030,39,2624,02624.csv,1.709207290507283,17
2625,[2009. 4. 13. 15. 59. 56.875],43,B0030,41,2626,02626.csv,1.684001734344571,18
2627,[2009. 4. 13. 19. 4. 39.468],43,B0030,43,2628,02628.csv,1.66898698813004,19
2629,[2009. 4. 13. 22. 9. 45.531],43,B0030,45,2630,02630.csv,1.6620689362837142,20
2633,[2009. 4. 14. 10. 33. 23.937],43,B0030,49,2634,02634.csv,1.6687049625248174,21
2635,[2009. 4. 14. 13. 36. 17.437],43,B0030,51,2636,02636.csv,1.652762183550463,22
2637,[2009. 4. 14. 16. 39. 25.031],43,B0030,53,2638,02638.csv,1.648481366235244,23
2639,[2009. 4. 14. 19. 42. 47.234],43,B0030,55,2640,02640.csv,1.6307406443132095,24
2641,[2009. 4. 14. 22. 45. 53.781],43,B0030,57,2642,02642.csv,1.62323023017929,25
2645,[2009. 4. 15. 14. 58. 30.250],43,B0030,61,2646,02646.csv,1.654190654039439,26
2647,[2009. 4. 15. 18. 1. 43.843],43,B0030,63,2648,02648.csv,1.638514396616985,27
2649,[2009. 4. 15. 21. 2. 58.328],43,B0030,65,2650,02650.csv,1.618847673357618,28
2651,[2009. 4. 16. 0. 5. 0.812],43,B0030,67,2652,02652.csv,1.6134212267751404,29
2653,[2009. 4. 16. 3. 6. 43.062],43,B0030,69,2654,02654.csv,1.6066443601761986,30
2657,[2009. 4. 16. 10. 13. 36.390],43,B0030,73,2658,02658.csv,1.6138387876938998,31
2659,[2009. 4. 16. 13. 14. 46.296],43,B0030,75,2660,02660.csv,1.596329501327274,32
2661,[2009. 4. 16. 16. 16. 19.734],43,B0030,77,2662,02662.csv,1.589078586740699,33
2663,[2009. 4. 16. 19. 17. 26.531],43,B0030,79,2664,02664.csv,1.5805481432309574,34
2665,[2009. 4. 16. 22. 17. 17.750],43,B0030,81,2666,02666.csv,1.584613105427081,35
2669,[2009. 4. 17. 9. 45. 34.062],43,B0030,85,2670,02670.csv,1.5936651221220737,36
2671,[2009. 4. 17. 12. 46. 29.125],43,B0030,87,2672,02672.csv,1.5849874126960888,37
2673,[2009. 4. 17. 15. 46. 53.875],43,B0030,89,2674,02674.csv,1.5787064969416462,38
2675,[2009. 4. 17. 18. 47. 33.937],43,B0030,91,2676,02676.csv,1.570705516096967,39
2677,[2009. 4. 17. 21. 46. 23.796],43,B0030,93,2678,02678.csv,1.562780404428482,40
2682,[2009. 4. 7. 16. 31. 1.890],43,B0031,1,2683,02683.csv,1.6666751942525773,1
2684,[2009. 4. 7. 19. 44. 26.578],43,B0031,3,2685,02685.csv,1.8328583629543171,2
2686,[2009. 4. 7. 22. 58. 18.000],43,B0031,5,2687,02687.csv,1.8139835002945135,3
2688,[2009. 4. 8. 2. 11. 30.218],43,B0031,7,2689,02689.csv,1.8044387333514835,4
2690,[2009. 4. 8. 5. 23. 26.343],43,B0031,9,2691,02691.csv,1.802147684291295,5
2694,[2009. 4. 9. 10. 24. 58.296],43,B0031,13,2695,02695.csv,1.7715647509798835,6
2696,[2009. 4. 9. 13. 33. 59.843],43,B0031,15,2697,02697.csv,1.8139928165779544,7
2698,[2009. 4. 9. 16. 42. 43.421],43,B0031,17,2699,02699.csv,1.8013261041198854,8
2700,[2009. 4. 9. 19. 50. 50.062],43,B0031,19,2701,02701.csv,1.7883722583933568,9
2702,[2009. 4. 9. 22. 58. 17.875],43,B0031,21,2703,02703.csv,1.776540165737316,10
2706,[2009. 4. 10. 12. 49. 4.718],43,B0031,25,2707,02707.csv,1.7856209131823229,11
2708,[2009. 4. 10. 15. 54. 20.093],43,B0031,27,2709,02709.csv,1.781363403668594,12
2710,[2009. 4. 10. 18. 59. 6.625],43,B0031,29,2711,02711.csv,1.768489838397124,13
2712,[2009. 4. 10. 22. 3. 26.625],43,B0031,31,2713,02713.csv,1.766505238291406,14
2714,[2009. 4. 11. 1. 8. 27.484],43,B0031,33,2715,02715.csv,1.751740527921767,15
2718,[2009. 4. 13. 9. 51. 27.484],43,B0031,37,2719,02719.csv,1.7352349314055016,16
2720,[2009. 4. 13. 12. 55. 24.468],43,B0031,39,2721,02721.csv,1.7782778274549178,17
2722,[2009. 4. 13. 15. 59. 56.875],43,B0031,41,2723,02723.csv,1.7649894859707391,18
2724,[2009. 4. 13. 19. 4. 39.468],43,B0031,43,2725,02725.csv,1.762591283533551,19
2726,[2009. 4. 13. 22. 9. 45.531],43,B0031,45,2727,02727.csv,1.744314576121582,20
2730,[2009. 4. 14. 10. 33. 23.937],43,B0031,49,2731,02731.csv,1.7628373753518478,21
2732,[2009. 4. 14. 13. 36. 17.437],43,B0031,51,2733,02733.csv,1.747857930947971,22
2734,[2009. 4. 14. 16. 39. 25.031],43,B0031,53,2735,02735.csv,1.7441167338864991,23
2736,[2009. 4. 14. 19. 42. 47.234],43,B0031,55,2737,02737.csv,1.7268422932817389,24
2738,[2009. 4. 14. 22. 45. 53.781],43,B0031,57,2739,02739.csv,1.7203093493042263,25
2742,[2009. 4. 15. 14. 58. 30.250],43,B0031,61,2743,02743.csv,1.7394245516699778,26
2744,[2009. 4. 15. 18. 1. 43.843],43,B0031,63,2745,02745.csv,1.7367384416372014,27
2746,[2009. 4. 15. 21. 2. 58.328],43,B0031,65,2747,02747.csv,1.716963468448543,28
2748,[2009. 4. 16. 0. 5. 0.812],43,B0031,67,2749,02749.csv,1.7127773558366357,29
2750,[2009. 4. 16. 3. 6. 43.062],43,B0031,69,2751,02751.csv,1.7061083466554066,30
2754,[2009. 4. 16. 10. 13. 36.390],43,B0031,73,2755,02755.csv,1.713732696207521,31
2756,[2009. 4. 16. 13. 14. 46.296],43,B0031,75,2757,02757.csv,1.7093475797926974,32
2758,[2009. 4. 16. 16. 16. 19.734],43,B0031,77,2759,02759.csv,1.690100045411559,33
2760,[2009. 4. 16. 19. 17. 26.531],43,B0031,79,2761,02761.csv,1.6946883343387664,34
2762,[2009. 4. 16. 22. 17. 17.750],43,B0031,81,2763,02763.csv,1.687010991299212,35
2766,[2009. 4. 17. 9. 45. 34.062],43,B0031,85,2767,02767.csv,1.6957069027070075,36
2768,[2009. 4. 17. 12. 46. 29.125],43,B0031,87,2769,02769.csv,1.687696889615565,37
2770,[2009. 4. 17. 15. 46. 53.875],43,B0031,89,2771,02771.csv,1.6819617127259294,38
2772,[2009. 4. 17. 18. 47. 33.937],43,B0031,91,2773,02773.csv,1.6750033888978846,39
2774,[2009. 4. 17. 21. 46. 23.796],43,B0031,93,2775,02775.csv,1.6672987794846676,40
2779,[2009. 4. 7. 16. 31. 1.890],43,B0032,1,2780,02780.csv,1.704864107351214,1
2781,[2009. 4. 7. 19. 44. 26.578],43,B0032,3,2782,02782.csv,1.8940319526948568,2
2783,[2009. 4. 7. 22. 58. 18.000],43,B0032,5,2784,02784.csv,1.8747686491853093,3
2785,[2009. 4. 8. 2. 11. 30.218],43,B0032,7,2786,02786.csv,1.8654947184112376,4
2787,[2009. 4. 8. 5. 23. 26.343],43,B0032,9,2788,02788.csv,1.8527398169018068,5
2791,[2009. 4. 9. 10. 24. 58.296],43,B0032,13,2792,02792.csv,1.844174397003866,6
2793,[2009. 4. 9. 13. 33. 59.843],43,B0032,15,2794,02794.csv,1.8430238477512757,7
2795,[2009. 4. 9. 16. 42. 43.421],43,B0032,17,2796,02796.csv,1.8302818174911863,8
2797,[2009. 4. 9. 19. 50. 50.062],43,B0032,19,2798,02798.csv,1.8173838456081812,9
2799,[2009. 4. 9. 22. 58. 17.875],43,B0032,21,2800,02800.csv,1.805799298110468,10
2803,[2009. 4. 10. 12. 49. 4.718],43,B0032,25,2804,02804.csv,1.8149829605049184,11
2805,[2009. 4. 10. 15. 54. 20.093],43,B0032,27,2806,02806.csv,1.7995150369321795,12
2807,[2009. 4. 10. 18. 59. 6.625],43,B0032,29,2808,02808.csv,1.7866516942518147,13
2809,[2009. 4. 10. 22. 3. 26.625],43,B0032,31,2810,02810.csv,1.7735550719416031,14
2811,[2009. 4. 11. 1. 8. 27.484],43,B0032,33,2812,02812.csv,1.769995333364443,15
2815,[2009. 4. 13. 9. 51. 27.484],43,B0032,37,2816,02816.csv,1.799526080374287,16
2817,[2009. 4. 13. 12. 55. 24.468],43,B0032,39,2818,02818.csv,1.7968530684449833,17
2819,[2009. 4. 13. 15. 59. 56.875],43,B0032,41,2820,02820.csv,1.7838265504081745,18
2821,[2009. 4. 13. 19. 4. 39.468],43,B0032,43,2822,02822.csv,1.7696444491040102,19
2823,[2009. 4. 13. 22. 9. 45.531],43,B0032,45,2824,02824.csv,1.7512940457049684,20
2827,[2009. 4. 14. 10. 33. 23.937],43,B0032,49,2828,02828.csv,1.7697554297961993,21
2829,[2009. 4. 14. 13. 36. 17.437],43,B0032,51,2830,02830.csv,1.7547726933914918,22
2831,[2009. 4. 14. 16. 39. 25.031],43,B0032,53,2832,02832.csv,1.7389166355812984,23
2833,[2009. 4. 14. 19. 42. 47.234],43,B0032,55,2834,02834.csv,1.7337200518764075,24
2835,[2009. 4. 14. 22. 45. 53.781],43,B0032,57,2836,02836.csv,1.7150972597500092,25
2839,[2009. 4. 15. 14. 58. 30.250],43,B0032,61,2840,02840.csv,1.7462926148815636,26
2841,[2009. 4. 15. 18. 1. 43.843],43,B0032,63,2842,02842.csv,1.719149261914565,27
2843,[2009. 4. 15. 21. 2. 58.328],43,B0032,65,2844,02844.csv,1.711582246191498,28
2845,[2009. 4. 16. 0. 5. 0.812],43,B0032,67,2846,02846.csv,1.69510511952259,29
2847,[2009. 4. 16. 3. 6. 43.062],43,B0032,69,2848,02848.csv,1.7005124371100973,30
2851,[2009. 4. 16. 10. 13. 36.390],43,B0032,73,2852,02852.csv,1.7080989351250158,31
2853,[2009. 4. 16. 13. 14. 46.296],43,B0032,75,2854,02854.csv,1.691435430587127,32
2855,[2009. 4. 16. 16. 16. 19.734],43,B0032,77,2856,02856.csv,1.6844494328889932,33
2857,[2009. 4. 16. 19. 17. 26.531],43,B0032,79,2858,02858.csv,1.664037581688075,34
2859,[2009. 4. 16. 22. 17. 17.750],43,B0032,81,2860,02860.csv,1.6686372014231974,35
2863,[2009. 4. 17. 9. 45. 34.062],43,B0032,85,2864,02864.csv,1.6899344075625968,36
2865,[2009. 4. 17. 12. 46. 29.125],43,B0032,87,2866,02866.csv,1.669431712846442,37
2867,[2009. 4. 17. 15. 46. 53.875],43,B0032,89,2868,02868.csv,1.6634226761839213,38
2869,[2009. 4. 17. 18. 47. 33.937],43,B0032,91,2870,02870.csv,1.643615219594737,39
2871,[2009. 4. 17. 21. 46. 23.796],43,B0032,93,2872,02872.csv,1.6358000873538243,40
2875,[2009. 6. 19. 17. 18. 16.015],24,B0033,0,2876,02876.csv,0.0684257224060181,1
2879,[2009. 6. 19. 22. 2. 50.609],24,B0033,4,2880,02880.csv,0.6895699007862814,2
2881,[2009. 6. 20. 1. 59. 39.750],24,B0033,6,2882,02882.csv,1.1610848192311252,3
2883,[2009. 6. 20. 5. 55. 38.984],24,B0033,8,2884,02884.csv,1.2529393053824995,4
2885,[2009. 6. 20. 9. 50. 35.156],24,B0033,10,2886,02886.csv,1.302918002447558,5
2887,[2009. 6. 20. 13. 47. 19.156],24,B0033,12,2888,02888.csv,1.3218773211472523,6
2891,[2009. 6. 20. 18. 55. 22.281],24,B0033,16,2892,02892.csv,1.2884694418301417,7
2893,[2009. 6. 20. 22. 51. 49.984],24,B0033,18,2894,02894.csv,1.713169326386719,8
2895,[2009. 6. 21. 2. 48. 20.078],24,B0033,20,2896,02896.csv,1.6560966776720512,9
2897,[2009. 6. 21. 6. 44. 49.843],24,B0033,22,2898,02898.csv,1.6197297341990775,10
2899,[2009. 6. 21. 10. 41. 15.046],24,B0033,24,2900,02900.csv,1.604655812282729,11
2903,[2009. 6. 21. 15. 49. 5.796],24,B0033,28,2904,02904.csv,1.6255699769029337,12
2905,[2009. 6. 21. 19. 45. 24.468],24,B0033,30,2906,02906.csv,1.5900967306245992,13
2907,[2009. 6. 21. 23. 41. 43.609],24,B0033,32,2908,02908.csv,1.5739402299623984,14
2909,[2009. 6. 22. 3. 37. 57.218],24,B0033,34,2910,02910.csv,1.5711303351557309,15
2911,[2009. 6. 22. 7. 34. 6.234],24,B0033,36,2912,02912.csv,1.5897706153457416,16
2915,[2009. 6. 22. 12. 41. 48.359],24,B0033,40,2916,02916.csv,1.6257378771074,17
2917,[2009. 6. 22. 16. 38. 13.281],24,B0033,42,2918,02918.csv,1.6523506333962537,18
2919,[2009. 6. 22. 20. 34. 46.062],24,B0033,44,2920,02920.csv,1.6143816761595386,19
2921,[2009. 6. 23. 0. 31. 3.375],24,B0033,46,2922,02922.csv,1.58697453394504,20
2923,[2009. 6. 23. 4. 27. 4.484],24,B0033,48,2924,02924.csv,1.5818355572787333,21
2927,[2009. 6. 26. 15. 29. 34.968],24,B0033,52,2928,02928.csv,1.6919769406371152,22
2931,[2009. 6. 26. 20. 32. 24.265],24,B0033,56,2932,02932.csv,1.6879483800354476,23
2933,[2009. 6. 27. 0. 28. 29.453],24,B0033,58,2934,02934.csv,1.6586223007531458,24
2935,[2009. 6. 27. 4. 25. 16.218],24,B0033,60,2936,02936.csv,1.6420179032789863,25
2937,[2009. 6. 27. 8. 21. 51.234],24,B0033,62,2938,02938.csv,1.6381810791118745,26
2939,[2009. 6. 27. 12. 18. 20.500],24,B0033,64,2940,02940.csv,1.6422892507912386,27
2943,[2009. 6. 27. 17. 26. 12.718],24,B0033,68,2944,02944.csv,1.651270876264092,28
2945,[2009. 6. 27. 21. 22. 21.781],24,B0033,70,2946,02946.csv,1.6326559297917211,29
2947,[2009. 6. 28. 1. 18. 34.656],24,B0033,72,2948,02948.csv,1.6260888111680731,30
2949,[2009. 6. 28. 5. 14. 48.250],24,B0033,74,2950,02950.csv,1.6079292963823688,31
2951,[2009. 6. 28. 9. 10. 46.125],24,B0033,76,2952,02952.csv,1.6125361114907395,32
2955,[2009. 6. 28. 14. 18. 12.906],24,B0033,80,2956,02956.csv,1.6218384168987892,33
2957,[2009. 6. 28. 18. 13. 23.984],24,B0033,82,2958,02958.csv,1.6145443029101134,34
2959,[2009. 6. 28. 22. 7. 58.453],24,B0033,84,2960,02960.csv,1.5953958917107596,35
2961,[2009. 6. 29. 2. 3. 46.140],24,B0033,86,2962,02962.csv,1.5877243027113055,36
2963,[2009. 6. 29. 5. 59. 12.218],24,B0033,88,2964,02964.csv,1.5811840578305605,37
2967,[2009. 6. 29. 11. 6. 27.906],24,B0033,92,2968,02968.csv,1.6128422608267754,38
2969,[2009. 6. 29. 14. 59. 50.625],24,B0033,94,2970,02970.csv,1.61998606328022,39
2971,[2009. 6. 29. 18. 50. 48.062],24,B0033,96,2972,02972.csv,1.6099381853611876,40
2973,[2009. 6. 29. 22. 44. 42.875],24,B0033,98,2974,02974.csv,1.577097753956516,41
2975,[2009. 6. 30. 2. 36. 39.734],24,B0033,100,2976,02976.csv,1.5708599066554392,42
2979,[2009. 7. 1. 11. 15. 23.875],24,B0033,104,2980,02980.csv,1.6261581345348248,43
2983,[2009. 7. 1. 16. 18. 18.546],24,B0033,108,2984,02984.csv,1.6348129972245726,44
2985,[2009. 7. 1. 20. 10. 2.437],24,B0033,110,2986,02986.csv,1.611705363734261,45
2987,[2009. 7. 14. 16. 14. 47.937],24,B0033,112,2988,02988.csv,1.8851401699720665,46
2991,[2009. 7. 14. 21. 23. 50.218],24,B0033,116,2992,02992.csv,1.6584957887780232,47
2993,[2009. 7. 15. 1. 16. 15.015],24,B0033,118,2994,02994.csv,1.62418934644937,48
2995,[2009. 7. 15. 5. 9. 4.546],24,B0033,120,2996,02996.csv,1.604172098856364,49
2997,[2009. 7. 15. 9. 4. 59.109],24,B0033,122,2998,02998.csv,1.6080016740907346,50
2999,[2009. 7. 15. 12. 57. 49.296],24,B0033,124,3000,03000.csv,1.6256752138435595,51
3003,[2009. 7. 15. 18. 0. 54.640],24,B0033,128,3004,03004.csv,1.617632765910718,52
3005,[2009. 7. 15. 21. 52. 48.093],24,B0033,130,3006,03006.csv,1.5973191489094265,53
3007,[2009. 7. 16. 1. 44. 58.390],24,B0033,132,3008,03008.csv,1.5875852250170606,54
3009,[2009. 7. 16. 5. 37. 32.718],24,B0033,134,3010,03010.csv,1.5802530015403684,55
3011,[2009. 7. 16. 9. 29. 18.125],24,B0033,136,3012,03012.csv,1.583036530487776,56
3015,[2009. 7. 16. 14. 36. 0.453],24,B0033,140,3016,03016.csv,1.6027138832797037,57
3017,[2009. 7. 16. 18. 26. 9.140],24,B0033,142,3018,03018.csv,1.5930709154513834,58
3019,[2009. 7. 16. 22. 18. 31.578],24,B0033,144,3020,03020.csv,1.5448888685020246,59
3021,[2009. 7. 17. 2. 10. 38.265],24,B0033,146,3022,03022.csv,1.5352188565640517,60
3023,[2009. 7. 17. 6. 2. 31.671],24,B0033,148,3024,03024.csv,1.5252677314227332,61
3027,[2009. 7. 17. 11. 8. 50.734],24,B0033,152,3028,03028.csv,1.5559492005453626,62
3029,[2009. 7. 17. 15. 0. 0.140],24,B0033,154,3030,03030.csv,1.564802943842715,63
3031,[2009. 7. 17. 18. 49. 14.750],24,B0033,156,3032,03032.csv,1.5518620461881203,64
3033,[2009. 7. 17. 22. 40. 36.953],24,B0033,158,3034,03034.csv,1.5144550545105004,65
3035,[2009. 7. 18. 2. 32. 19.203],24,B0033,160,3036,03036.csv,1.5051936202146428,66
3039,[2009. 7. 23. 10. 25. 18.890],24,B0033,164,3040,03040.csv,1.605823969917045,67
3043,[2009. 7. 23. 15. 28. 51.734],24,B0033,168,3044,03044.csv,1.6249005195877049,68
3045,[2009. 7. 23. 19. 19. 21.390],24,B0033,170,3046,03046.csv,1.589785130036615,69
